"entity_name","entity_id","team_name","year","runner_runs","fielder_runs","runner_runs_advances","runner_runs_thrown_out","runner_runs_hold","fielder_runs_advances","fielder_runs_thrown_out","fielder_runs_hold","n_opp_xb","n_att_xb","rate_att_xb","est_rate_att_generic_runner","est_rate_att_generic_fielder","n_out","n_safe","rate_safe","rate_safe_per_attempt"
"Rutschman, Adley",668939,"BAL",2026,-0.42039597471434165,0.015706175048809185,0.830989480510234,-0.8051733576319191,-0.4462120975926567,-1.0448372084514004,0.7862228267224494,0.27432055677776007,50,20,0.39999999999999997,0.3932534947404406,0.35648855662317314,1,19,0.38000000000000006,0.95
"Myers, Dane",667472,"CIN",2026,0.4712613916067651,-0.14828961359144202,0.895065477647231,0,-0.4238040860404659,-0.6540981637537785,0,0.5058085501623364,37,14,0.37837837837837834,0.373833310565086,0.4078411302186038,0,14,0.37837837837837834,1
"Kurtz, Nick",701762,"ATH",2026,-0.7184515344330011,0.22216312858387774,1.4869897202785913,-0.9334535071826391,-1.2719877475289536,-1.726146052394375,0.9285690799837609,1.0197401009944915,83,28,0.33734939759036153,0.36562444648004166,0.3377943267303752,1,27,0.32530120481927716,0.9642857142857143
"Palacios, Richie",680700,"TB",2026,0.7644657375426855,-0.6756263118769155,1.2017941680905582,0,-0.4373284305478728,-1.1657110773058226,0,0.4900847654289071,45,17,0.3777777777777779,0.34836920593972975,0.35626245205522683,0,17,0.3777777777777779,1
"Eldridge, Bryce",805811,"SF",2026,-2.503623950563431,0.9508837489400648,0.36804883105736896,-0.8542687057880373,-2.0174040758327623,-0.7326415043212682,0.7980348831680288,0.8854903700933039,61,20,0.3278688524590165,0.4683183172724581,0.36401324009811054,1,19,0.3114754098360656,0.95
"Sheets, Gavin",657757,"SD",2026,-1.2670536843485747,0.5504751364923873,0.9968065807049489,-0.9386267645542643,-1.325233500499259,-1.2262698002408126,0.9042141266913553,0.8725308100418447,64,21,0.32812500000000006,0.3869623180487622,0.33970413967528496,1,20,0.3125,0.9523809523809523
"Nimmo, Brandon",607043,"TEX",2026,0.8777437116845943,-0.13183611030486936,2.0668703727030557,0,-1.1891266610184619,-1.7629539166401567,0,1.631117806335287,96,31,0.32291666666666663,0.32162230060315106,0.35747716544374775,0,31,0.32291666666666663,1
"Carpenter, Kerry",681481,"DET",2026,-0.5265213186113885,0.5673371371850227,0.31607838822227724,0,-0.842599706833666,-0.31891487980590094,0,0.8862520169909237,35,10,0.2857142857142857,0.37682708550517563,0.3809239013799309,0,10,0.2857142857142857,1
"Busch, Michael",683737,"CHC",2026,-2.3845621475543997,1.5218176367610177,0.8466503952913824,-1.643766961489684,-1.5874455813560986,-1.2055690421909933,1.5988785315202239,1.1285081474317866,80,25,0.3124999999999999,0.37158765844096414,0.32510725189888773,2,23,0.28750000000000014,0.92
"Yastrzemski, Mike",573262,"ATL",2026,0.8099087902032558,-1.0905290081252879,1.7044938748260505,0,-0.8945850846227946,-1.8881940902231475,0,0.79766508209786,57,23,0.4035087719298246,0.38567515165492333,0.36790255415004697,0,23,0.4035087719298246,1
