"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,entity_name,team_name,start_year,end_year,runner_runs_tot,runner_runs_XB,runner_runs_SBX,N_runner_moved,runner_runs_XB_swipe,runner_runs_XB_snipe,runner_runs_XB_freeze,N_runner_moved_XB,runner_runs_SB2,runner_runs_SB3,simple_stolen_on_running_act_SB2,simple_stolen_on_running_act_SB3,N_runner_moved_SBX,runner_runs_per_run
"Swanson, Dansby",621020,112,CHC,SS,32,146,1.0,4.33,28.4,"Swanson, Dansby",CHC,2026,2026,4.204429860675354,2.1830238488679887,2.0214060118073656,51,3.505579785565252,-0.7607358713760749,-0.5618200653211874,40,1.89061560967474,0.1307904021326246,7.594156452777328,0.3193900873201696,11,0.02879746479914626
"Hoerner, Nico",663538,112,CHC,2B,29,201,,4.36,28.3,"Hoerner, Nico",CHC,2026,2026,3.587211965099906,1.1769612864672323,2.4102506786326736,55,2.882980777937453,-0.7863368027965094,-0.9196826886737104,38,2.115773334340181,0.2944773442924924,8.789099264042468,0.9218446729567908,17,0.017846825697014457
"Vargas, Miguel",678246,145,CWS,3B,26,124,,4.39,28.3,"Vargas, Miguel",CWS,2026,2026,0.8231634135858403,0.5178305039997217,0.3053329095861186,53,2.865682853767032,-1.5931957236606171,-0.7546566261066929,44,0.2127202489080753,0.0926126606780431,1.3155620503096703,0.1902141626066336,9,0.006638414625692261
"Bazzana, Travis",683953,114,CLE,2B,23,108,3.0,4.24,28.3,"Bazzana, Travis",CLE,2026,2026,3.228406719633033,2.144037272861363,1.0843694467716702,39,2.704235224551113,0.0,-0.5601979516897506,22,0.2230183317930348,0.8613511149786354,2.5531109111500827,4.0364489339814025,17,0.02989265481141697
"Vierling, Matt",663837,116,DET,CF,29,93,1.0,4.5,28.3,"Vierling, Matt",DET,2026,2026,-0.1398013578754217,0.1252269701577648,-0.2650283280331866,29,1.3329157851938505,-0.9079965785081652,-0.2996922365279204,23,-0.2191756133542964,-0.0458527146788907,0.1422709176811506,-0.4775524441861574,6,-0.001503240407262599
"Moniak, Mickey",666160,115,COL,LF,28,73,1.0,4.37,28.3,"Moniak, Mickey",COL,2026,2026,1.0829983515490034,1.5389005770946789,-0.4559022255456755,25,2.2700892754764728,0.0,-0.731188698381794,23,-0.426311272554117,-0.0295909529915583,-2.1498648871702977,-0.2321703877525159,2,0.014835593856835663
"Hernández, Teoscar",606192,119,LAD,LF,33,95,1.0,4.4,28.3,"Hernández, Teoscar",LAD,2026,2026,0.0991636900890581,0.2429254125352257,-0.1437617224461675,26,2.0070004968921884,-0.8023643338024302,-0.9617107505545324,26,-0.0970250382864628,-0.0467366841597047,-2.051038147324265,-0.4118118844417311,0,0.0010438283167269274
"Winn, Masyn",691026,138,STL,SS,24,137,3.0,4.35,28.3,"Winn, Masyn",STL,2026,2026,1.5372853922181224,0.8785840886959039,0.6587013035222186,30,1.6392061951861996,0.0,-0.7606221064902959,25,0.5578886613100598,0.1008126422121589,0.2105933538999308,0.2684334884186279,5,0.011221061257066588
"Alexander, Blaze",677942,110,BAL,3B,27,86,3.0,4.43,28.3,"Alexander, Blaze",BAL,2026,2026,1.972921997428167,1.5638108207336952,0.4091111766944719,35,2.161378330489458,0.0,-0.5975675097557629,25,0.4796087828915599,-0.0704976061970881,3.155599938341308,-0.5926958487612912,10,0.02294095345846706
"Pages, Andy",681624,119,LAD,CF,25,153,,4.38,28.3,"Pages, Andy",LAD,2026,2026,0.3212689706387424,0.9211879517436076,-0.5999189811048653,54,2.7894866825075555,-0.7686074607985285,-1.0996912699654195,39,-0.9369873681588096,0.337068387053944,-1.3273935467588915,1.44536200942248,15,0.0020997971937172706
