"last_name, first_name","player_id","team_id","team","position","age","competitive_runs","bolts","hp_to_1b","sprint_speed"
"Perkins, Blake",663368,158,"MIL","CF",29,"51","3","4.29","28.7"
"Domínguez, Jasson",691176,147,"NYY","RF",23,"64","10","4.26","28.7"
"Matthews, Brice",694728,117,"HOU","CF",24,"66","1","4.35","28.6"
"Frelick, Sal",686217,158,"MIL","RF",26,"142","15","4.24","28.7"
"Sosa, Edmundo",624641,143,"PHI","LF",30,"65","12","4.40","28.6"
"Peters, Tristan",671976,145,"CWS","CF",26,"131","5","4.26","28.6"
"Raley, Luke",670042,136,"SEA","RF",31,"78",,"4.32","28.6"
"Arroyo, Edwin",695490,113,"CIN","2B",22,"35",,"4.32","28.6"
"Turang, Brice",668930,158,"MIL","2B",26,"182","1","4.29","28.6"
"Harris, Dustin",687957,117,"HOU","LF",26,"23",,"4.19","28.6"
"Hernández, Heriberto",681715,146,"MIA","LF",26,"84",,"4.37","28.6"
"Robles, Victor",645302,136,"SEA","RF",29,"41","7","4.37","28.6"
"Trout, Mike",545361,108,"LAA","CF",34,"110","5","4.42","28.6"
"Peraza, Oswald",672724,108,"LAA","2B",26,"97",,"4.39","28.6"
"McLain, Matt",680574,113,"CIN","2B",26,"73",,"4.33","28.5"
"Koss, Christian",683766,137,"SF","3B",28,"19",,,"28.5"
"Abrams, CJ",682928,120,"WSH","SS",25,"129","10","4.28","28.5"
"Jones, Jahmai",663330,111,"BOS","DH",28,"32",,"4.37","28.5"
"Stott, Bryson",681082,143,"PHI","2B",28,"131","2","4.26","28.5"
"Benge, Carson",701807,121,"NYM","RF",23,"151","2","4.27","28.5"
"Steer, Spencer",668715,113,"CIN","1B",28,"121","1","4.44","28.5"
"De La Cruz, Elly",682829,113,"CIN","SS",24,"122","8","4.35","28.5"
"Osuna, Alejandro",696030,140,"TEX","LF",23,"92",,"4.21","28.5"
"Vilade, Ryan",668723,139,"TB","RF",27,"61",,"4.47","28.5"
"Clarke, Denzel",672016,133,"ATH","CF",26,"21","4","4.31","28.5"
"Halpin, Petey",690984,114,"CLE","CF",24,"30",,"4.34","28.5"
"Volpe, Anthony",683011,147,"NYY","SS",25,"65",,"4.33","28.5"
"Montgomery, Braden",695731,145,"CWS","RF",23,"71",,"4.32","28.4"
"Rosario, Amed",642708,147,"NYY","3B",30,"51","3","4.42","28.4"
"Langeliers, Shea",669127,133,"ATH","C",28,"121",,"4.52","28.4"
"Church, Nathan",701675,138,"STL","CF",25,"114",,"4.26","28.4"
"Barrosa, Jorge",678489,109,"AZ","CF",25,"44","2",,"28.4"
"Spence, Lucas",828599,117,"HOU","CF",23,"14",,,"28.4"
"Langford, Wyatt",694671,140,"TEX","LF",24,"83","1","4.34","28.4"
"Cruz, Oneil",665833,134,"PIT","CF",27,"100","8","4.37","28.4"
"Lopez, Otto",672640,146,"MIA","SS",27,"228","3","4.22","28.4"
"Triolo, Jared",669707,134,"PIT","SS",28,"103",,"4.42","28.4"
"Holliday, Jackson",702616,110,"BAL","2B",22,"57","2","4.29","28.4"
"Chisholm Jr., Jazz",665862,147,"NYY","2B",28,"94","7","4.24","28.4"
"Swanson, Dansby",621020,112,"CHC","SS",32,"146","1","4.33","28.4"
"Lara, Luis",800325,158,"MIL","RF",21,"28","1",,"28.3"
"Hoerner, Nico",663538,112,"CHC","2B",29,"201",,"4.36","28.3"
"Rodriguez, Jesus",683679,137,"SF","C",24,"26",,"4.43","28.3"
"Loperfido, Joey",694388,117,"HOU","LF",27,"42","1","4.28","28.3"
"Fraley, Jake",641584,139,"TB","RF",31,"28","1","4.27","28.3"
"Workman, Gage",669398,116,"DET","3B",26,"11",,,"28.3"
